date,brand,sentiment_index,discounts,expansion,funding,logistics,other,partnership,regulation,technology
2026-08-12,tata cliq,0.0,0,0,2,0,0,0,0,0
2026-08-13,ajio,0.0,0,1,0,0,0,0,0,0
2026-08-13,firstcry,0.5,0,0,0,0,0,0,0,2
2026-08-14,firstcry,0.0,0,0,0,0,0,0,0,1
2026-08-16,ajio,-1.0,0,0,0,0,1,0,0,0
2026-08-17,pharmeasy,1.0,0,0,1,0,0,0,0,0
2026-08-18,pharmeasy,0.0,0,0,0,0,1,0,0,0
2026-08-19,firstcry,0.0,0,0,0,0,0,0,0,1
2026-08-20,pharmeasy,-1.0,0,0,0,0,1,0,0,0
2026-08-21,pharmeasy,0.0,0,0,0,0,1,0,0,0
2026-08-25,pepperfry,0.0,0,0,0,0,0,0,0,1
2026-08-25,zara india,0.6666666666666666,0,1,0,1,1,0,0,0
2026-08-27,ajio,0.0,0,0,1,0,0,0,0,0
2026-08-27,delhivery,0.0,0,0,0,0,1,0,0,0
2026-08-27,tata 1mg,1.0,0,0,0,0,1,0,0,0
2026-08-27,zara india,0.0,0,0,0,0,1,0,0,0
2026-08-28,delhivery,-0.3333333333333333,1,0,0,0,1,0,1,0
2026-08-28,firstcry,-1.0,0,0,0,0,0,0,0,1
2026-08-30,snapdeal,1.0,0,0,1,0,0,0,0,0
2026-08-31,tata cliq,0.0,0,0,0,0,0,1,0,0
2026-09-01,delhivery,1.0,0,0,1,0,0,0,0,0
2026-09-01,myntra,1.0,0,0,1,0,1,0,0,1
2026-09-01,tata cliq,0.0,0,0,0,0,0,1,0,0
2026-09-01,zara india,0.0,0,0,0,0,0,0,0,1
2026-09-02,myntra,0.0,0,1,0,0,0,0,0,1
2026-09-02,tata 1mg,1.0,1,0,0,0,0,0,0,0
2026-09-03,bigbasket,-1.0,0,0,1,0,0,0,0,0
2026-09-03,h&m india,0.0,1,0,0,0,0,0,0,2
2026-09-04,meesho,0.0,0,0,0,0,1,0,0,0
2026-09-04,nykaa,0.0,0,0,0,0,1,0,0,0
2026-09-05,bigbasket,0.0,0,0,2,0,1,0,0,0
2026-09-05,blinkit,0.0,0,0,0,0,0,0,0,1
2026-09-05,nykaa,0.0,0,0,1,0,1,0,0,0
2026-09-06,blinkit,-1.0,0,0,0,0,0,0,0,2
2026-09-06,lenskart,1.0,0,0,0,0,1,0,0,0
2026-09-06,snapdeal,1.0,0,0,0,0,0,0,0,2
2026-09-06,zomato,-0.5,0,0,0,0,0,0,0,2
2026-09-07,flipkart,-0.2,0,1,0,0,2,0,0,2
2026-09-07,h&m india,1.0,0,1,0,0,0,0,0,0
2026-09-07,lenskart,-1.0,0,0,0,0,0,0,0,1
2026-09-07,nykaa,-1.0,1,0,0,0,0,0,0,0
2026-09-07,zepto,1.0,0,0,1,0,0,0,0,0
2026-09-07,zomato,0.3333333333333333,0,0,0,1,1,0,0,1
2026-09-08,amazon india,-0.2,1,0,0,0,2,0,0,2
2026-09-08,lenskart,1.0,0,0,0,0,2,0,0,0
2026-09-08,meesho,0.5,0,0,0,0,1,0,0,1
2026-09-08,reliance digital,-0.2,0,0,0,0,1,0,0,4
2026-09-08,shiprocket,-1.0,1,0,0,0,1,0,0,0
2026-09-08,swiggy,-0.5,0,0,1,0,1,0,0,2
2026-09-08,urban company,0.5,0,0,0,0,2,0,0,2
2026-09-08,zepto,1.0,1,0,0,0,1,0,0,0
