date,sentiment_index,customer_complaints,discounts,expansion,funding,logistics,other,partnership,regulation,technology
2026-08-25,0.0,0,0,0,0,0,0,0,0,1
2026-08-27,1.0,0,0,0,0,0,1,0,0,0
2026-09-01,0.5,0,0,0,1,0,0,1,0,0
2026-09-08,-1.0,0,0,0,0,0,1,0,0,1
2026-09-09,0.0,0,0,1,0,2,1,0,0,0
2026-09-11,0.6666666666666666,0,1,0,1,0,0,0,0,1
2026-09-12,-0.5,0,0,0,0,1,0,0,0,1
2026-09-14,0.0,0,0,0,0,0,1,0,0,1
2026-09-16,0.5,0,0,0,1,0,0,1,0,2
2026-09-17,0.0,0,1,0,0,0,0,0,0,0
2026-09-18,0.25,0,0,0,0,0,1,0,0,3
2026-09-21,0.0,0,0,0,1,0,1,0,0,0
2026-09-22,0.0,0,3,0,0,0,3,0,0,1
2026-09-23,-0.125,1,3,0,1,0,6,0,0,5
2026-09-24,0.1,0,3,0,2,3,5,0,1,6
